Img,step,Convergence,best_eval_all,best_indiv_all,best_eval_gen,best_indiv_gen,gap
863706,1,0.7407407407407407,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:01
863706,2,0.8787878787878788,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.46102893277238766,"[1.0793838036163552, 1.343040988793496, 2.7731315888013075, 2.946556151457272]",00:00:02
863706,3,0.9459459459459459,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4353899440769965,"[2.810723884438141, 2.8488025142191375, 2.7731315888013075, 0.8762738945979132]",00:00:03
863706,4,0.9736842105263158,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4488208316193777,"[2.810723884438141, 2.8488025142191375, 1.0965963400940189, 1.7574277113738412]",00:00:04
863706,5,0.9871794871794872,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4359071013270295,"[1.7767361546096945, 2.8488025142191375, 1.0965963400940189, 1.2138546325235002]",00:00:05
863706,6,1.0,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4359071013270295,"[1.7767361546096945, 2.8488025142191375, 1.0965963400940189, 1.2138546325235002]",00:00:06
238071,1,0.8103448275862069,0.4768344430718571,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4768344430718571,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:01
238071,2,0.9117647058823529,0.47242959672294094,"[1.520888810612643, 0.8100234435563972, 2.836877120115063, 1.4076117446558705]",0.47242959672294094,"[1.520888810612643, 0.8100234435563972, 2.836877120115063, 1.4076117446558705]",00:00:02
238071,3,0.9736842105263158,0.46002869467811247,"[1.9725991316697489, 0.7263585655201504, 0.8040573527522978, 1.173363770362444]",0.46002869467811247,"[1.9725991316697489, 0.7263585655201504, 0.8040573527522978, 1.173363770362444]",00:00:03
238071,4,1.0,0.46002869467811247,"[1.9725991316697489, 0.7263585655201504, 0.8040573527522978, 1.173363770362444]",0.4846092434949242,"[1.9725991316697489, 1.1915638556371904, 0.788669230475974, 2.343667951251197]",00:00:04
849899,1,0.8333333333333334,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:01
849899,2,0.8939393939393939,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4008056361315653,"[1.4076117446558705, 0.8160906571439818, 2.5110231242587604, 1.80528988062093]",00:00:02
849899,3,0.9594594594594594,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.41887346000189607,"[0.8762738945979132, 1.2741768668251465, 1.1517919328025217, 1.80528988062093]",00:00:03
849899,4,0.9594594594594594,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.40647169866402355,"[0.8762738945979132, 0.9776150949869382, 1.1517919328025217, 1.80528988062093]",00:00:04
849899,5,0.9871794871794872,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4054687178657673,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",00:00:04
849899,6,1.0,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4054687178657673,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",00:00:05
562878,1,0.8970588235294118,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",00:00:01
562878,2,0.9305555555555556,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 0.702726909652588]",00:00:02
562878,3,0.9594594594594594,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 2.9902824218638147]",00:00:03
562878,4,0.9871794871794872,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 0.702726909652588]",00:00:04
562878,5,0.9871794871794872,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 1.2824067108493007]",00:00:04
562878,6,0.9871794871794872,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 1.2824067108493007]",00:00:05
562878,7,1.0,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40690338322540354,"[1.552563964384059, 0.8022729117583459, 1.500123594572142, 1.2824067108493007]",00:00:06
262693,1,0.7678571428571429,0.4456824408589455,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",0.4456824408589455,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",00:00:01
262693,2,0.8939393939393939,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",00:00:02
262693,3,0.9444444444444444,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.4498196933491272,"[2.19526829898323, 0.7979011412399267, 1.5959461508963946, 2.9902824218638147]",00:00:03
262693,4,0.9871794871794872,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.4594468277529813,"[2.19526829898323, 1.1088934899690424, 2.5732997345299635, 1.4255009342479237]",00:00:04
262693,5,0.9871794871794872,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.4594468277529813,"[2.19526829898323, 1.1088934899690424, 2.5732997345299635, 2.325119591073101]",00:00:04
262693,6,0.9871794871794872,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.4594468277529813,"[2.19526829898323, 1.1088934899690424, 2.5732997345299635, 1.4255009342479237]",00:00:05
262693,7,0.9871794871794872,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",0.4594468277529813,"[2.19526829898323, 1.1088934899690424, 2.5732997345299635, 1.4255009342479237]",00:00:06
