Img,algorithm,best_eval_all,best_indiv_all,gap
863706,ECGA,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:06
238071,ECGA,0.46002869467811247,"[1.9725991316697489, 0.7263585655201504, 0.8040573527522978, 1.173363770362444]",00:00:04
849899,ECGA,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:05
562878,ECGA,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",00:00:06
262693,ECGA,0.44501694695718474,"[2.19526829898323, 0.7979011412399267, 2.039953410581308, 1.8954892663550966]",00:00:13
157727,ECGA,0.4197572888153218,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",00:00:05
141845,ECGA,0.461703665661662,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:04
240288,ECGA,0.4668795211659017,"[1.3418434896237312, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",00:00:04
864424,ECGA,0.4297083525414337,"[1.0342731722165455, 0.9404168198237537, 1.934462960119827, 1.0569516754036206]",00:00:05
