Img,step,Convergence,best_eval_all,best_indiv_all,best_eval_gen,best_indiv_gen,gap
863706,1,1.0,0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.434009373441404,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:02
238071,1,1.0,0.4768344430718571,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.4768344430718571,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:02
849899,1,1.0,0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",0.3910530515952757,"[1.579176121019342, 0.7979011412399267, 1.500123594572142, 2.9902824218638147]",00:00:02
562878,1,1.0,0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",0.40361426601934913,"[1.4076117446558705, 0.9776150949869382, 1.0756883685765775, 1.80528988062093]",00:00:02
262693,1,1.0,0.4456824408589455,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",0.4456824408589455,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",00:00:02
157727,1,1.0,0.4197572888153218,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",0.4197572888153218,"[2.5846599792148073, 0.9776150949869382, 2.993515920970271, 1.6588628902174316]",00:00:02
